Bounding Territory,Display Name,Bounding Type,Bounding Population,GeoPy Index
"[Senneville,Baie-D'Urfé,Sainte-Anne-de-Bellevue]","Senneville, Baie-D'Urfé & Saint-Anne-de-Bellevue",Montréal Borough,10000,0
Verdun,Verdun,Montréal Borough,70000,0
Villeray-Saint-Michel-Parc-Extension,Villeray-Saint-Michel-Parc-Extension,Montréal Borough,145000,0
Westmount,Westmount,Montréal Borough,20000,0
Shawinigan,Shawinigan,Municipality,50000,1
Trois-Rivières,Trois-Rivières,Municipality,135000,0
"[La Tuque,Mékinac,Les Chenaux]","La Tuque, Mékinac & Les Chenaux",Regional County Municipality (RCM),40000,0
Maskinongé (MRC),Maskinongé,Regional County Municipality (RCM),35000,0
D'Autray,D'Autray,Regional County Municipality (RCM),40000,0
L'Assomption (MRC),L'Assomption,Regional County Municipality (RCM),125000,0
Joliette (MRC),Joliette,Regional County Municipality (RCM),65000,0
Matawinie,Matawinie,Regional County Municipality (RCM),50000,0
Montcalm,Montcalm,Regional County Municipality (RCM),50000,1
Les Moulins,Les Moulins,Regional County Municipality (RCM),160000,0
Gatineau,Gatineau,Municipality,280000,0
"[La Vallée-de-la-Gatineau,Pontiac]",Pontiac & La Vallée-de-la-Gatineau,Regional County Municipality (RCM),35000,0
"[Les Collines-de-l'Outaouais,Papineau]",Papineau & Les Collines-de-l'Outaouais,Regional County Municipality (RCM),60000,0
Abitibi-Témiscamingue,Abitibi-Témiscamingue,Administative Region,150000,0
Argenteuil,Argenteuil,Regional County Municipality (RCM),30000,0
Les Pays-d'en-Haut,Les Pays-d'en-Haut,Regional County Municipality (RCM),40000,0
Les Laurentides,Les Laurentides,Regional County Municipality (RCM),45000,0
Antoine-Labelle,Antoine-Labelle,Regional County Municipality (RCM),35000,2
"[Mirabel,-Deux-Montagnes,-La Rivière-du-Nord,-Thérèse-De Blainville]",Mirabel,Municipality,60000,0
Deux-Montagnes,Deux-Montagnes,Regional County Municipality (RCM),100000,1
Thérèse-De Blainville,Thérèse-De Blainville,Regional County Municipality (RCM),160000,0
La Rivière-du-Nord,La Rivière-du-Nord,Regional County Municipality (RCM),130000,0
Saguenay,Ville de Saguenay,Municipality,150000,1
Le Domaine-du-Roy,Le Domaine-du-Roy,Regional County Municipality (RCM),30000,0
Lac-Saint-Jean-Est,Lac-Saint-Jean-Est,Regional County Municipality (RCM),50000,0
"[Le Fjord-du-Saguenay,Maria-Chapdelaine]",Le Fjord-du-Saguenay & Maria-Chapdelaine,Regional County Municipality (RCM),45000,0
Côte-Nord,Côte-Nord,Administative Region,90000,0
Nord-du-Québec,Nord-du-Québec,Administative Region,45000,0
