Location,City,RCM,Region,Bounding Territory,Display Name,Bounding Type,Bounding Population,GeoPy Index
Saint-Bruno-de-Montarville,Saint-Bruno-de-Montarville,Longueuil,Montérégie,Saint-Bruno-de-Montarville,Saint-Bruno-de-Montarville,Municipality,25000,0
Saint-Lambert,Saint-Lambert,Longueuil,Montérégie,Saint-Lambert,Saint-Lambert,Municipality,20000,0
Bromont,Bromont,Brome-Missisquoi,Montérégie,Brome-Missisquoi,Brome-Missisquoi,Regional County Municipality (RCM),60000,0
Lac-Brome,Lac-Brome,Brome-Missisquoi,Montérégie,Brome-Missisquoi,Brome-Missisquoi,Regional County Municipality (RCM),60000,0
Cowansville,Cowansville,Brome-Missisquoi,Montérégie,Brome-Missisquoi,Brome-Missisquoi,Regional County Municipality (RCM),60000,0
Granby,Granby,La Haute-Yamaska,Montérégie,La Haute-Yamaska,La Haute-Yamaska,Regional County Municipality (RCM),90000,0
Saint-Hyacinthe,Saint-Hyacinthe,Les Maskoutains,Montérégie,"[Les Maskoutains,Acton]",Les Maskoutains & Acton,Regional County Municipality (RCM),105000,0
Acton Vale,Acton Vale,Acton,Montérégie,"[Les Maskoutains,Acton]",Les Maskoutains & Acton,Regional County Municipality (RCM),105000,0
Sorel-Tracy,Sorel-Tracy,Pierre-de-Saurel,Montérégie,Pierre-de-Saurel,Pierre-de-Saurel,Regional County Municipality (RCM),50000,0
Marieville,Marieville,Rouville,Montérégie,Rouville,Rouville,Regional County Municipality (RCM),35000,0
Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,Le Haut-Richelieu,Montérégie,Le Haut-Richelieu,Le Haut-Richelieu,Regional County Municipality (RCM),120000,0
Beloeil,Beloeil,La Vallée-du-Richelieu,Montérégie,La Vallée-du-Richelieu,La Vallée-du-Richelieu,Regional County Municipality (RCM),125000,0
Sainte-Julie,Sainte-Julie,Marguerite-D'Youville,Montérégie,Marguerite-D'Youville,Marguerite-D'Youville,Regional County Municipality (RCM),80000,0
